episode,timestep,reward
188,2000,14.2595
373,4000,14.3255
553,6000,14.4723
725,8000,14.8562
896,10000,14.7436
1069,12000,14.5877
1241,14000,14.9654
1397,16000,15.3782
1554,18000,15.504
1713,20000,15.5288
1857,22000,16.1616
2012,24000,15.6261
2165,26000,15.9204
2301,28000,16.6014
2442,30000,16.3773
2575,32000,17.19
2704,34000,17.3089
2829,36000,17.5048
2947,38000,18.1412
3071,40000,17.904
3186,42000,18.2411
3302,44000,18.0077
3413,46000,18.7515
3521,48000,19.1501
3627,50000,18.4954
3737,52000,18.7193
3833,54000,20.3145
3931,56000,19.8766
4017,58000,21.7177
4111,60000,20.5149
4200,62000,21.1738
4288,64000,21.0331
4367,66000,23.5721
4449,68000,21.8177
4530,70000,22.1528
4619,72000,21.1841
4692,74000,23.7664
4766,76000,23.5587
4837,78000,23.6235
4908,80000,24.7615
4973,82000,26.1529
5041,84000,23.5127
5104,86000,27.0451
5177,88000,24.0224
5231,90000,32.7265
5291,92000,27.2706
5348,94000,29.6729
5403,96000,28.6158
5462,98000,29.2518
5517,100000,29.6036
5573,102000,28.9419
5629,104000,27.8553
5679,106000,31.2704
5727,108000,31.1267
5770,110000,35.4197
5817,112000,31.3427
5862,114000,36.8248
5906,116000,32.3648
5949,118000,33.7015
5993,120000,39.7454
6034,122000,37.7222
6073,124000,35.6609
6113,126000,36.4086
6153,128000,40.3283
6190,130000,37.6813
6226,132000,42.7991
6263,134000,42.9988
6301,136000,37.5044
6333,138000,46.7151
6365,140000,45.292
6402,142000,40.4771
6434,144000,49.4282
6471,146000,40.6049
6507,148000,43.8705
6541,150000,44.1277
6573,152000,49.3191
6604,154000,47.8956
6631,156000,50.3295
6661,158000,51.5031
6694,160000,44.1199
6724,162000,51.6667
6756,164000,48.4685
6786,166000,52.0244
6819,168000,48.6714
6844,170000,58.402
6874,172000,53.7114
6902,174000,53.1969
6929,176000,55.2365
6962,178000,43.3293
6990,180000,50.2121
7018,182000,58.2075
7046,184000,53.5635
7079,186000,50.4103
7108,188000,56.3718
7137,190000,52.1176
7164,192000,60.1131
7191,194000,52.508
7217,196000,55.4472
7245,198000,59.1381
7272,200000,61.4629
7300,202000,59.8521
7326,204000,61.7718
7354,206000,55.2048
7378,208000,58.2562
7404,210000,58.9253
7430,212000,61.3016
7456,214000,63.8755
7484,216000,56.6261
7512,218000,63.02
7539,220000,55.6977
7567,222000,56.8033
7594,224000,57.5122
7619,226000,68.9945
7644,228000,63.2613
7672,230000,65.2903
7699,232000,59.8927
7726,234000,62.8442
7753,236000,55.1993
7777,238000,59.9203
7803,240000,61.9754
7827,242000,67.2728
7852,244000,68.9018
7879,246000,55.1265
7905,248000,68.5455
7930,250000,63.2137
7956,252000,69.7891
7980,254000,74.8659
8006,256000,72.556
8029,258000,76.3883
8054,260000,71.9266
8080,262000,71.2634
8104,264000,70.2526
8132,266000,62.9637
8158,268000,66.7454
8180,270000,74.7451
8204,272000,67.7331
8230,274000,74.0712
8254,276000,66.8579
8279,278000,70.508
8303,280000,72.2383
8330,282000,75.5461
8356,284000,72.267
8383,286000,72.3686
8410,288000,74.5403
8435,290000,78.7149
8459,292000,73.2419
8485,294000,78.6477
8507,296000,82.6872
8533,298000,73.0203
8556,300000,80.1041
8581,302000,67.9045
8607,304000,67.4838
8632,306000,74.2667
8656,308000,69.6957
8683,310000,70.6542
8709,312000,76.2576
8735,314000,76.5144
8761,316000,79.4621
8786,318000,71.0201
8811,320000,78.8366
8837,322000,78.1102
8865,324000,66.4291
8892,326000,72.3174
8918,328000,66.6145
8943,330000,71.5869
8967,332000,79.3658
8992,334000,74.367
9018,336000,77.5958
9043,338000,80.6549
9068,340000,76.1533
9097,342000,68.5563
9124,344000,72.6458
9147,346000,79.842
9172,348000,75.393
9196,350000,73.1321
9224,352000,72.5781
9251,354000,75.3679
9277,356000,72.9863
9302,358000,76.6511
9325,360000,81.1856
9351,362000,77.7572
9374,364000,76.0451
9401,366000,73.4521
9427,368000,75.7085
9452,370000,80.6095
9478,372000,77.4753
9504,374000,78.0049
9531,376000,77.0877
9558,378000,76.124
9585,380000,71.523
9609,382000,79.3913
9635,384000,79.8706
9662,386000,76.224
9687,388000,75.4287
9711,390000,79.6128
9735,392000,81.9044
9763,394000,71.9336
9788,396000,80.1981
9813,398000,81.358
9840,400000,75.7367
9867,402000,73.7399
9891,404000,85.4999
9916,406000,73.3667
9941,408000,79.4854
9968,410000,71.4478
9994,412000,78.091
10017,414000,83.829
10043,416000,82.6151
10068,418000,78.0172
10093,420000,77.0634
10118,422000,80.7343
10145,424000,75.5282
10171,426000,79.0887
10199,428000,76.5003
10224,430000,85.0234
10249,432000,79.5294
10276,434000,78.2797
10301,436000,86.2339
10325,438000,84.718
10351,440000,78.3223
10378,442000,68.9833
10404,444000,74.0274
10428,446000,81.4382
10455,448000,73.3062
10481,450000,77.5764
10507,452000,79.8601
10532,454000,80.4933
10558,456000,79.0774
10584,458000,81.4986
10608,460000,83.714
10633,462000,80.557
10658,464000,75.3345
10684,466000,80.2746
10711,468000,77.0219
10736,470000,79.8281
10760,472000,84.571
10782,474000,85.8202
10807,476000,79.7531
10832,478000,83.1894
10856,480000,83.5227
10881,482000,79.3089
10910,484000,75.9386
10934,486000,81.1634
10958,488000,84.466
10984,490000,79.9248
11011,492000,76.1717
11036,494000,78.1205
11062,496000,79.8353
11088,498000,81.498
11114,500000,75.6848
11140,502000,84.8029
11165,504000,86.2118
11188,506000,88.0675
11214,508000,88.0095
