episode,timestep,reward
159,2000,15.5118
315,4000,15.7095
452,6000,17.078
583,8000,17.2258
704,10000,17.6216
821,12000,18.1915
914,14000,20.8198
1017,16000,19.4342
1109,18000,21.0636
1187,20000,22.2619
1260,22000,24.8507
1334,24000,24.0647
1396,26000,27.7423
1453,28000,28.6208
1504,30000,31.2357
1551,32000,35.3486
1594,34000,36.8055
1635,36000,36.4616
1670,38000,41.0067
1710,40000,39.9909
1745,42000,43.8942
1779,44000,45.4886
1808,46000,46.5935
1841,48000,48.3957
1870,50000,53.6746
1899,52000,48.4272
1927,54000,50.2834
1951,56000,54.1977
1979,58000,53.7428
2006,60000,58.4108
2034,62000,58.8845
2060,64000,66.424
2085,66000,63.5505
2110,68000,62.3144
2136,70000,58.3449
2162,72000,59.332
2189,74000,60.8281
2214,76000,68.2866
2242,78000,62.5908
2267,80000,64.7503
2294,82000,68.322
2320,84000,66.3348
2345,86000,64.966
2370,88000,70.8394
2397,90000,63.3194
2427,92000,57.7257
2452,94000,69.9922
2479,96000,67.411
2504,98000,68.7768
2530,100000,76.818
2555,102000,70.5909
2581,104000,68.2289
2610,106000,64.5599
2635,108000,69.0066
2662,110000,67.04
2688,112000,72.5206
2712,114000,74.655
2737,116000,70.9838
2763,118000,66.6029
2791,120000,69.612
2817,122000,69.6336
2843,124000,73.4144
2868,126000,79.9122
2895,128000,73.0683
2921,130000,73.6577
2946,132000,75.8279
2968,134000,78.501
2994,136000,71.5889
3020,138000,70.7395
3046,140000,73.394
3072,142000,74.3428
3098,144000,73.6264
3121,146000,84.0319
3146,148000,74.9957
3170,150000,80.765
3194,152000,76.1313
3220,154000,77.9642
3243,156000,80.3554
3268,158000,76.551
3291,160000,85.3028
3314,162000,86.6955
3338,164000,74.3941
3361,166000,78.9505
3384,168000,85.4291
3409,170000,75.4017
3436,172000,74.0287
3459,174000,84.4027
3483,176000,80.6362
3505,178000,89.2859
3530,180000,73.5285
3553,182000,88.3897
3577,184000,82.5667
3600,186000,79.9026
